Class,Baseline Precision (%),TET Precision (%),Baseline Recall (%),TET Recall (%),Baseline F1 (%),TET F1 (%),Delta F1 (%)
airplane,71.59,65.37,64.67,50.33,67.95,56.87,-11.08
automobile,87.32,79.59,82.67,78.0,84.93,78.79,-6.14
bird,55.06,58.38,61.67,33.67,58.18,42.71,-15.47
cat,58.85,47.35,51.0,41.67,54.64,44.33,-10.32
deer,66.2,55.49,78.33,64.0,71.76,59.44,-12.31
dog,72.87,63.95,60.0,55.0,65.81,59.14,-6.67
frog,75.33,53.98,75.33,81.33,75.33,64.89,-10.44
horse,77.0,69.5,77.0,73.67,77.0,71.52,-5.48
ship,69.51,65.77,84.33,73.0,76.2,69.19,-7.01
truck,84.45,76.13,79.67,84.0,81.99,79.87,-2.12
